,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2/26/20,0,0,0,10000.0,2.0,10.0
2/27/20,0,0,0,9999.771225828428,2.2079708075233238,10.020803364049852
2/28/20,0,0,0,9999.518668655082,2.4375613787453343,10.04376996617354
2/29/20,0,0,0,9999.23974293468,2.691121815739672,10.069135249581212
3/1/20,0,0,0,9998.931819756783,2.9710418056541665,10.097138437565036
3/2/20,0,0,0,9998.592049853169,3.2799114210397393,10.128038725793639
3/3/20,0,0,0,9998.217147305138,3.6207175153041886,10.162135179558845
3/4/20,0,0,0,9997.803389543513,3.99684372271219,10.199766733775686
3/5/20,0,0,0,9997.346617348634,4.412070458385295,10.24131219298239
3/6/20,0,0,0,9996.84223485036,4.870574918301932,10.28719023134039
3/7/20,0,0,0,9996.285209528069,5.376931079297405,10.33785939263432
3/8/20,0,0,0,9995.670072210665,5.936109699063895,10.393818090272015
3/9/20,0,0,0,9994.990917076566,6.553478316150461,10.455604607284513
3/10/20,0,0,0,9994.241401653711,7.234801249963034,10.523797096326057
3/11/20,2,0,0,9993.413742035085,7.987149324658538,10.599108640256324
3/12/20,2,0,0,9992.499773331283,8.817941387152135,10.682285281566422
3/13/20,3,0,0,9991.491778661788,9.734194454606417,10.774026883607387
3/14/20,10,0,0,9990.380539549184,10.74428837514886,10.87517207566872
3/15/20,10,0,0,9989.155326027163,11.85797478193485,10.986699190903117
3/16/20,11,0,0,9987.803896640527,13.086377093147672,11.109726266326486
3/17/20,11,0,0,9986.312498445184,14.441990511998528,11.245511042817935
3/18/20,12,0,0,9984.665867008154,15.938682026726518,11.39545096511978
3/19/20,12,0,0,9982.847226407564,17.59169041059866,11.56108318183754
3/20/20,15,0,0,9980.838289232652,19.417626221909863,11.744084545439941
3/21/20,19,0,0,9978.61925658376,21.434471803982966,11.94627161225891
3/22/20,24,0,0,9976.168818072343,23.661581285168687,12.16960064248958
3/23/20,27,0,0,9973.464151820965,26.119680578845674,12.416167600190294
3/24/20,29,0,0,9970.480924463298,28.83086738342047,12.688208153282591
3/25/20,32,0,0,9967.19233384749,31.81946282237778,12.988203330133748
3/26/20,43,0,0,9963.562210069567,35.11817590638236,13.319614024050807
3/27/20,61,0,0,9959.55947656639,38.75528516128377,13.685238272327947
3/28/20,74,0,0,9955.149803133396,42.7620398006813,14.088157065923673
3/29/20,80,0,1,9950.29279542588,47.17515608552404,14.532048488596729
3/30/20,93,0,4,9944.941994958985,52.03681732411087,15.021187716906098
3/31/20,101,0,6,9939.0448791077,57.39467387209045,15.560447020210995
4/1/20,107,1,7,9932.54286110687,63.301843132461286,16.15529576067088
4/2/20,114,1,8,9925.371290051184,69.81690955557164,16.81180039324545
4/3/20,122,1,9,9917.459450895187,77.00392463911955,17.536624465694633
4/4/20,128,1,10,9908.73056445327,84.93240692815287,18.3370286185786
4/5/20,145,2,10,9899.101787399673,93.6773420150693,19.220870585257764
4/6/20,170,2,11,9888.484212268491,103.31918253961626,20.19660519189277
4/7/20,178,2,14,9876.782867453665,113.94384818889098,21.273284357444496
4/8/20,193,2,15,9863.896717208987,125.64272569734051,22.460557093674073
4/9/20,244,2,18,9849.718661648096,138.5126688467617,23.768669505142853
4/10/20,247,2,19,9834.136023676443,152.6551720794378,25.208804244120547
4/11/20,253,2,20,9817.024934520226,168.17929361564111,26.79577186413404
4/12/20,274,2,24,9798.22995459255,185.22672310435334,28.5433223030974
4/13/20,301,2,27,9777.578684334452,203.9548206861323,30.46649497941651
4/14/20,320,6,28,9754.884559955115,224.53293258584642,32.58250745903963
4/15/20,362,7,28,9729.94685343187,247.14239111267474,34.91075545545745
4/16/20,398,14,29,9702.550672510191,271.97651466010683,37.47281282970304
4/17/20,408,26,31,9672.466960703707,299.24060770594286,40.292431590351896
4/18/20,431,31,31,9639.452497294185,329.1519608122936,43.395541893521894
4/19/20,457,31,32,9603.249897331547,361.93985062558045,46.810252042873316
4/20/20,500,31,33,9563.587611633857,397.84553987653527,50.56684848960887
4/21/20,527,37,34,9520.179926787327,437.12227738020067,54.69779583247364
4/22/20,528,44,37,9472.726965146316,480.0352980359296,59.23773681775511
4/23/20,616,44,43,9420.914684833331,526.8618228273859,64.2234923392832
4/24/20,709,54,44,9364.414879739026,577.8910588225438,69.6940614384302
4/25/20,766,54,46,9302.8851795222,633.4241991736881,75.6906213041108
4/26/20,820,80,50,9235.969049609803,693.7744231174142,82.25652727278211
4/27/20,863,98,53,9163.541753568303,759.0290217508141,89.42922468088577
4/28/20,888,110,55,9085.293154373296,829.4474799593347,97.25936566737191
4/29/20,934,117,59,9000.577009821733,905.6087709587118,105.81421921955774
4/30/20,973,132,62,8908.819986485405,988.0184083610143,115.16160515358311
5/1/20,1029,134,66,8809.521943998883,1077.1081723772072,125.36988362391236
5/2/20,1240,159,71,8702.255935059517,1173.2361098171516,136.50795512333428
5/3/20,1352,166,76,8586.668205427435,1276.6865340896045,148.64526048296221
5/4/20,1425,174,82,8462.47819392555,1387.6700252022185,161.85178087223386
5/5/20,1529,187,86,8329.478532439549,1506.3234297615427,176.19803779891143
5/6/20,1597,198,91,8187.535045917899,1632.7098609730217,191.75509310908166
5/7/20,1760,219,102,8036.586752371852,1766.8186986409962,208.5945489871557
5/8/20,1923,237,106,7876.645862875432,1908.5655891687031,226.78854795586923
5/9/20,2065,258,114,7707.797781565447,2057.7924455582743,246.40977287628237
5/10/20,2165,273,118,7530.201105641485,2214.26744741074,267.5314469477797
5/11/20,2410,299,122,7344.087625365912,2377.6850409260223,290.2273337080703
5/12/20,2523,313,128,7149.762324063874,2547.6659389029437,314.5717370331877
5/13/20,2667,339,142,6947.602234173813,2723.75827319659,340.6394926295986
5/14/20,2864,356,152,6737.523882321786,2905.9796328295165,368.49648484869897
5/15/20,2979,434,164,6520.092903278648,3093.716985880581,398.19011084077215
5/16/20,3188,473,165,6296.53317942358,3285.706828752666,429.75999182375585
5/17/20,3426,493,169,6068.030502233568,3480.7327141056817,463.23678366075217
5/18/20,3586,503,174,5835.732572283407,3677.625250856567,498.64217686002786
5/19/20,3759,533,189,5600.748999245697,3875.262104179291,535.9888965750143
5/20/20,4167,553,199,5364.151301890846,4072.5679955048486,575.2807026043074
5/21/20,4411,561,215,5126.9729080870675,4268.514702521266,616.5123893916677
05/22/20,,,,4890.209154800384,4462.121059173598,659.6697860260206
05/23/20,,,,4654.81728809462,4652.452955663926,704.7297562414556
05/24/20,,,,4421.716463131414,4838.6233384513625,751.6601984172269
05/25/20,,,,4191.787744170202,5019.792210252046,800.4200455777536
05/26/20,,,,3965.874104568237,5195.166630039148,850.9592653926193
05/27/20,,,,3744.7804267805677,5364.000713042864,903.2188601765722
05/28/20,,,,3529.2735023600603,5525.59563075042,957.1308668895244
05/29/20,,,,3320.082031957378,5679.299610906073,1012.6183571365539
05/30/20,,,,3117.896625321,5824.507937511104,1069.5954371679022
05/31/20,,,,2923.3698012972036,5960.6629508238275,1127.9672478789762
06/01/20,,,,2737.1159878300796,6087.254047359583,1187.6299648103466
06/02/20,,,,2559.7114043725765,6203.817790604041,1248.4708050233844
06/03/20,,,,2391.2139176575233,6310.389543434231,1310.3965389082468
06/04/20,,,,2231.3392534280097,6407.332732603198,1373.3280139687945
06/05/20,,,,2080.045118224392,6494.7840429127455,1437.1708388628642
06/06/20,,,,1937.2398062924558,6572.927331263689,1501.8328624438573
06/07/20,,,,1802.7821995834156,6641.993626655848,1567.2241737607385
06/08/20,,,,1676.4817677539131,6702.261130188051,1633.257102058038
06/09/20,,,,1558.0985681660188,6754.055215058134,1699.8462167758494
06/10/20,,,,1447.3432458872312,6797.74842656294,1766.908327549831
06/11/20,,,,1343.8776616326106,6833.759984346896,1834.362354020494
06/12/20,,,,1247.370075872075,6862.506932075923,1902.1229920520027
06/13/20,,,,1157.4657793364593,6884.411705383622,1970.12251527992
06/14/20,,,,1073.792040027737,6899.904040177292,2038.3039197949722
06/15/20,,,,995.989296597367,6909.398536025052,2106.612167377582
06/16/20,,,,923.711158346294,6913.294656155839,2174.994185497868
06/17/20,,,,856.6244052249485,6911.976727459408,2243.398867315645
06/18/20,,,,794.4089878332464,6905.8139404863305,2311.7770716804243
06/19/20,,,,736.7580274205895,6895.160349447999,2380.081623131413
06/20/20,,,,683.3778158858646,6880.354872216622,2448.2673118975144
06/21/20,,,,633.987815777445,6861.7212903252275,2516.2908938973287
06/22/20,,,,588.320660293189,6839.568248967661,2584.111090739151
06/23/20,,,,546.1221532804409,6814.189256998587,2651.688589720974
06/24/20,,,,507.1479067693173,6785.865901400977,2718.986191829707
06/25/20,,,,471.0981572918223,6754.925774007855,2785.976068700324
06/26/20,,,,437.7388480589694,6721.620768027898,2852.6403839131344
06/27/20,,,,406.8786877454372,6686.159123627993,2918.962188626571
06/28/20,,,,378.33629467505773,6648.738507128322,2984.925198196621
06/29/20,,,,351.94019682081625,6609.546011002359,3050.513792176826
06/30/20,,,,327.5288318048513,6568.758153876866,3115.713014318283
07/01/20,,,,304.9505468984547,6526.540880531903,3180.5085725696435
07/02/20,,,,284.06359902207157,6483.049561900817,3244.886839077113
07/03/20,,,,264.7361547453001,6438.42899507025,3308.834850184452
07/04/20,,,,246.84629028689216,6392.8134032801345,3372.340306432975
07/05/20,,,,230.28199151475252,6346.326435923697,3435.391572561552
07/06/20,,,,214.9411539459394,6299.081168547455,3497.9776775066075
07/07/20,,,,200.73158274666423,6251.180102851218,3560.08831440212
07/08/20,,,,187.5709927117591,6202.715166704582,3621.7138405836604
07/09/20,,,,175.3668879714307,6153.782839291417,3682.850272737153
07/10/20,,,,164.0345869571052,6104.467153498215,3743.4982595446804
07/11/20,,,,153.51310229696355,6054.83109114557,3803.655806557467
07/12/20,,,,143.74446789228375,6004.934375284014,3863.321156823703
07/13/20,,,,134.67373891744097,5954.833470194013,3922.4927908885466
07/14/20,,,,126.24899181990742,5904.58158138597,3981.1694267941234
07/15/20,,,,118.42132432025247,5854.228655600222,4039.350020079526
07/16/20,,,,111.14485541214266,5803.821380807043,4097.033763780815
07/17/20,,,,104.37672536234146,5753.403186206642,4154.220088431017
07/18/20,,,,98.07709571070966,5703.014242229165,4210.908662060126
07/19/20,,,,92.20914927020505,5652.69146053469,4267.099390195104
07/20/20,,,,86.73909012688252,5602.468494013235,4322.792415859882
07/21/20,,,,81.6361436398941,5552.37573678475,4377.988119575354
07/22/20,,,,76.87255644148894,5502.440324199123,4432.687119359385
07/23/20,,,,72.42426183633829,5452.684619482707,4486.8911186809555
07/24/20,,,,68.27018684314524,5403.126181022357,4540.603632134499
