,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2/26/20,1,0,0,200000.0,2.0,10.0
2/27/20,1,0,0,199999.43250465806,2.3461749056609373,10.221320436281273
2/28/20,1,0,0,199998.76675149272,2.7522867439919114,10.480961763313433
2/29/20,2,0,0,199997.9854105206,3.228906252490626,10.785683226911399
3/1/20,2,0,0,199997.0694536882,3.7876403141854125,11.142905997623032
3/2/20,2,0,0,199995.99565424485,4.44265664634518,11.561689108813422
3/3/20,2,0,0,199994.73587564958,5.211117311035924,12.053007039383802
3/4/20,4,0,0,199993.2570715711,6.113178715120721,12.629749713771549
3/5/20,4,0,0,199991.5212858878,7.171991610259737,13.306722501950178
3/6/20,13,0,0,199989.48543456246,8.413833873926805,14.100731563608587
3/7/20,13,0,0,199987.09530130474,9.87176693975841,15.032931755507478
3/8/20,20,0,0,199984.29484417522,11.5799759207773,16.125179904016985
3/9/20,25,0,0,199981.0159079531,13.580032997101975,17.40405904982904
3/10/20,31,0,0,199977.17285089035,15.924168088091996,18.90298102157263
3/11/20,38,0,0,199972.66254471184,18.67526885234798,20.66218643581379
3/12/20,52,0,0,199967.36437461525,21.90688068771159,22.72874469705561
3/13/20,151,0,0,199961.14023927102,25.70320673126555,25.156553997738243
3/14/20,151,0,0,199953.83455082244,30.15910785933364,28.006341318238874
3/15/20,162,0,0,199945.27223194952,35.381314382791615,31.346453667702793
3/16/20,199,1,0,199935.22133160915,41.511087400492514,35.26758099036581
3/17/20,318,2,1,199923.44980421846,48.68999081661721,39.86020496492685
3/18/20,367,2,3,199909.67488541623,57.09048580835835,45.23462877542291
3/19/20,613,2,6,199893.53828891495,66.93092471616183,51.53078636889633
3/20/20,780,2,11,199874.6062065009,78.47555104372674,58.91824245539479
3/21/20,1004,2,15,199852.36930803405,92.03449945800557,67.59619250797137
3/22/20,1519,2,25,199826.24274144814,107.96379578920394,77.79346276268446
3/23/20,1888,2,34,199795.56613275062,126.66535703078077,89.76851021859781
3/24/20,2199,2,46,199759.60358602277,148.58699133944828,103.80942263778056
3/25/20,2493,2,59,199717.46760688038,174.2671553313197,120.2652377883163
3/26/20,2902,6,77,199668.06913089828,204.36683623326894,139.56403286846668
3/27/20,3319,6,92,199610.28340718575,239.5731864092507,162.14340640502053
3/28/20,3787,6,111,199542.6697779542,280.7627191251524,188.56750292065408
3/29/20,4114,6,136,199463.4586364515,329.00892936667344,219.53243418183467
3/30/20,4300,120,159,199370.55142696187,385.5822938393252,255.86627919882102
3/31/20,5389,127,201,199261.52064480592,451.95027096843125,298.52908422566287
4/1/20,6469,127,240,199133.60983634068,529.7773008991268,348.61286276020144
4/2/20,7593,127,324,198983.73359895957,620.9248054963593,407.3415955440688
4/3/20,8570,127,359,198808.47096291833,727.4540716520182,476.0749654296702
4/4/20,9788,127,445,198603.54155914052,851.8840041821804,556.574436677309
4/5/20,10517,127,486,198364.11755631198,997.1479300798283,650.7345136082065
4/6/20,11470,127,564,198084.55699530125,1166.6794475710599,760.763557127716
4/7/20,13221,127,686,197758.05084259415,1364.5534464763455,889.3957109295213
4/8/20,15224,127,819,197376.62299029384,1595.486108210529,1039.8909014956369
4/9/20,16969,173,950,196931.13025612078,1864.834905782826,1216.0348380964072
4/10/20,18408,173,1057,196411.2623834127,2178.598603796825,1422.1390127905074
4/11/20,19430,173,1124,195805.54204112457,2543.4172584504868,1663.0407004249437
4/12/20,20796,173,1223,195101.32482382882,2966.572217536145,1944.102958635051
4/13/20,21929,173,1328,194285.28502416238,3455.4722092668744,2271.242766570754
4/14/20,20684,3046,1532,193342.76354481702,4017.6772965833043,2651.559158599687
4/15/20,12558,14026,1736,192252.19706748173,4666.171161770289,3093.6317707479784
4/16/20,14475,14026,1924,190990.92065565594,5413.935056315604,3607.1442880284576
4/17/20,17515,14026,2141,189535.8960868078,6273.237253218314,4202.866659973886
4/18/20,20278,14026,2354,187863.71185237428,7255.63304698878,4892.655100636959
4/19/20,14062,22130,2462,185950.58315776105,8371.964753648652,5689.452088590302
4/20/20,16026,22130,2587,183772.35192234267,9632.361710730873,6607.286366926477
4/21/20,17347,22991,2741,181304.48677946237,11046.240277279678,7661.272943257973
4/22/20,17533,25318,2906,178522.0830764322,12622.30383385059,8867.613089717217
4/23/20,20132,26573,3331,175405.31077886804,14365.49887604163,10241.190345090343
4/24/20,22684,27655,3704,171941.9160181858,16273.853834991067,11796.230146823162
4/25/20,26107,29160,4057,168107.03165543295,18349.1437811261,13555.824563440954
4/26/20,28662,30152,4286,163886.76841959206,20585.284134806963,15539.947445601
4/27/20,31701,31142,4603,159279.70607191278,22967.55652381352,17764.737404273725
4/28/20,35608,32544,5083,154296.89340591204,25472.608783345266,20242.49781074271
4/29/20,40040,34132,5513,148961.84824737403,28068.454956021305,22981.696796604676
4/30/20,45246,35935,6006,143310.5574543501,30714.47529188039,25986.967253769508
5/1/20,47751,38039,6412,137391.47691715893,33361.416248380876,29259.106834460217
5/2/20,49402,40937,6761,131265.53155838625,35951.39049040076,32795.07795121299
5/3/20,51784,42991,7051,125006.11533288521,38417.87689023766,36588.00777687714
5/4/20,55438,45815,7367,118696.06040232172,40688.16275042089,40627.77684725742
5/5/20,59296,48221,7938,112399.73216317521,42715.762564296376,44896.505272528426
5/6/20,66653,51370,8588,106175.0914270795,44475.685628078296,49361.222944842215
5/7/20,71233,55350,9190,100075.92595449288,45947.79840512759,53988.275640379536
5/8/20,77580,59297,10017,94150.17973703517,47117.04238724546,58744.777875719374
5/9/20,83720,61685,10656,88439.95299748765,47973.43409467338,63598.61290783899
5/10/20,86619,64957,11123,82981.50218979311,48512.06507609304,68518.43273411387
5/11/20,90557,67384,11653,77805.23999905583,48733.10190862641,73473.65809231775
5/12/20,93156,72597,12461,72935.73534154161,48641.78619783574,78434.47846062266
5/13/20,98473,78424,13240,68391.71336467771,48248.434577723485,83371.85205759885
5/14/20,109687,79479,13999,64186.055447052844,47568.438710732386,88257.5058422148
5/15/20,120359,84970,14962,60325.79919841732,46622.26528774544,93063.93551383728
5/16/20,128177,89672,15662,56800.714831740814,45449.75618981485,97761.52897844434
5/17/20,130840,94122,16118,53575.58835047099,44109.911753287466,102326.49989624156
5/18/20,138056,100459,16853,50627.380126613825,42637.16244941193,106747.45742397424
5/19/20,147108,106794,17983,47934.69290999155,41062.459076524676,111014.84801348377
5/20/20,156037,116683,18859,45477.40383715695,39413.818300081424,115120.77786276164
5/21/20,164080,125960,20047,43236.664431393394,37716.322652657254,119059.01291594937
05/22/20,,,,41194.9006027148,35992.12053394657,122824.97886333863
05/23/20,,,,39335.81264786571,34260.4262107631,126415.7611413712
05/24/20,,,,37644.37525032118,32537.5198170399,129830.10493263893
05/25/20,,,,36106.83748028688,30836.74735382937,133068.41516588378
05/26/20,,,,34710.72279469903,29168.520689303226,136132.75651599775
05/27/20,,,,33444.73368725021,27540.425792537804,139026.840520212
05/28/20,,,,32294.171444606516,25962.294048686446,141755.53450670704
05/29/20,,,,31246.524332677534,24440.27077646975,144325.2048908527
05/30/20,,,,30292.289081557956,22977.113858972258,146742.5970594698
05/31/20,,,,29422.651626669758,21574.98954938644,149014.3588239438
06/01/20,,,,28629.487108762223,20235.47247101274,151147.04042022504
06/02/20,,,,27905.35987391193,18959.54561725954,153147.09450882854
06/03/20,,,,27243.523473522753,17747.600351643196,155020.87617483403
06/04/20,,,,26637.92066432586,16599.436407787995,156774.64292788613
06/05/20,,,,26083.183408379722,15514.261889426198,158414.55470219406
06/06/20,,,,25574.632873070106,14490.693270398013,159946.67385653185
06/07/20,,,,25108.279431110066,13526.755394651607,161376.9651742383
06/08/20,,,,24680.822660539976,12619.88147624309,162711.29586321692
06/09/20,,,,24289.624423365956,11766.924345912917,163955.4512307211
06/10/20,,,,23930.410872079206,10965.448272756486,165116.1408551643
06/11/20,,,,23599.801167371003,10213.52375992174,166198.67507270724
06/12/20,,,,23295.862327851115,9508.851886037231,167207.28578611164
06/13/20,,,,23016.715059937585,8849.165641934871,168146.11929812754
06/14/20,,,,22760.533757856738,8232.229930649914,169019.23631149333
