,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
3/6/20,1,0,0,1000.0,1.0,10.0
3/7/20,1,0,0,999.7862194409051,1.1840101478322742,10.029770411262618
3/8/20,5,0,0,999.5331523165125,1.4018275329754002,10.06502015051205
3/9/20,9,0,0,999.233513975597,1.6597156243752855,10.10677040002766
3/10/20,9,0,0,998.879154111709,1.9646860761947251,10.156159812096261
3/11/20,13,0,0,998.4600514864607,2.3253560490607343,10.21459246447865
3/12/20,22,0,0,997.9640629871727,2.752161590458964,10.28377542236836
3/13/20,23,0,0,997.3769236268747,3.2573576347337028,10.365718738391646
3/14/20,26,0,0,996.6822465443047,3.8550180030878716,10.4627354526075
3/15/20,27,0,0,995.8610866230284,4.56139020937955,10.577523167591973
3/16/20,35,0,0,994.8906777049323,5.395971426504088,10.713350868563586
3/17/20,41,0,0,993.7456955266852,6.380566070817922,10.873738402496894
3/18/20,50,0,0,992.3946121609046,7.5422359905841585,11.063151848511248
3/19/20,68,0,1,990.799310756919,8.913611469966849,11.287077773114117
3/20/20,88,0,1,988.9150855407679,10.53289122903099,11.552023230201089
3/21/20,113,2,2,986.6906418152016,12.44384242374252,11.865515761055867
3/22/20,130,2,2,984.0680959596814,14.695800645968312,12.23610339435028
3/23/20,154,2,2,980.9829754303795,17.3436699234762,12.673354646144276
3/24/20,173,2,2,977.3667840444709,20.444617855049874,13.188598100479204
3/25/20,197,2,2,973.1297223073151,24.074970313530354,13.795307379154554
3/26/20,227,2,2,968.1599167494519,28.33099703429035,14.509086216257751
3/27/20,258,3,2,962.3349779848847,33.31635014680938,15.34867186830595
3/28/20,290,3,2,955.5220319954743,39.14202926361391,16.33593874091182
3/29/20,309,3,2,947.577720130939,45.92638148027741,17.495898388783573
3/30/20,324,4,2,938.3481991088548,53.795101375420344,18.85669951572492
3/31/20,341,4,2,927.6691410146549,62.88123101071005,20.449627974635092
4/1/20,369,4,2,915.3657333016303,73.32515993086099,22.309106767508858
4/2/20,388,6,2,901.2688618376656,85.25976794342128,24.471370218913208
4/3/20,403,11,2,885.2822145974749,98.74687818543829,26.9709072170869
4/4/20,420,13,2,867.1271911033106,114.0086811961798,29.86412770050964
4/5/20,436,16,2,846.5595906772539,131.23105465617215,33.209354666573944
4/6/20,447,18,2,823.4207178539898,150.51694450687293,37.062337639137404
4/7/20,457,24,2,797.6373823808065,171.88636495067092,41.47625266852272
4/8/20,470,29,3,769.2218992175963,195.27639845088612,46.50170233151769
4/9/20,506,30,3,738.2720885368553,220.54119573176973,52.186715731375216
4/10/20,513,42,3,704.9712757236829,247.4519757785041,58.576748497813284
4/11/20,525,49,3,669.5882913757823,275.69702583720294,65.714682787015
4/12/20,536,56,3,632.476350658395,304.882764957485,73.6408843841201
4/13/20,547,62,3,593.9288099866093,334.6778966657274,82.39329334766332
4/14/20,549,66,3,554.4441095858691,364.58370653476146,91.97218387936942
4/15/20,555,67,4,514.6302627980086,394.0121524857963,102.35758471619499
4/16/20,564,74,4,475.0365578553724,422.4412546233147,113.52218752131293
4/17/20,557,88,4,436.1535578808152,449.41509523507244,125.43134688411237
4/18/20,554,97,4,398.4131008877024,474.5438187920988,138.04308032019875
4/19/20,543,112,5,362.1882997799097,497.50363194869635,151.3080682713939
4/20/20,532,124,6,327.79354235182336,518.0368035424408,165.1696541057358
4/21/20,513,150,6,295.4844912883398,535.9516645941812,179.56384411747877
4/22/20,495,180,6,265.45808416486597,551.1226083080403,194.41930752709357
4/23/20,484,196,6,237.85253344731916,563.4900900714135,209.657376481267
4/24/20,465,216,6,212.73568558842734,573.0720457613739,225.1922686501987
4/25/20,445,242,6,190.004013983258,580.0510289029475,240.94495711379454
4/26/20,425,264,6,169.4983187121207,584.6480733563668,256.85360793151244
4/27/20,404,287,6,151.06652152636184,587.0727074196523,272.8607710539859
4/28/20,393,306,6,134.55992566463976,587.5276599896305,288.9124143457298
4/29/20,384,323,6,119.83321585292451,586.2088605619346,304.9579235851409
4/30/20,375,338,6,106.744458304498,583.3054392310045,320.9501024644975
5/1/20,364,355,6,95.15510071995399,578.9997266900865,336.8451725899595
5/2/20,355,372,6,84.92997228719796,573.4672542312337,352.6027734815683
5/3/20,347,386,6,75.93165999728531,566.882573561409,368.1857664413057
5/4/20,337,399,6,67.99102083009413,559.4427667750995,383.5662123948064
5/5/20,336,413,6,60.97193863331729,551.2976042540242,398.7304571126585
5/6/20,327,428,6,54.75811933499945,542.5751363282017,413.6667443367989
5/7/20,314,445,6,49.24701893577485,533.3889255457244,428.36405551850066
5/8/20,306,461,6,44.34984350886731,523.8380466727599,442.8121098183727
5/9/20,294,480,6,39.99154920009018,514.0070866935499,457.00136410635974
5/10/20,284,501,7,36.11084222784643,503.9661448104107,470.92301296174276
5/11/20,277,517,7,32.660178883128545,493.77083244373296,484.5689886731383
5/12/20,277,520,7,29.605765529518592,483.462273231982,497.93196123849907
5/13/20,280,527,8,26.92727292191077,473.0673626154125,511.00536446267677
5/14/20,287,535,8,24.563375595917144,462.6474361314514,523.7891882726315
5/15/20,292,542,9,22.451798663633326,452.26047573894533,536.2877255974214
5/16/20,292,551,10,20.563812449439045,441.93283374437476,548.5033538061862
5/17/20,288,565,10,18.873317259808474,431.6880183544532,560.4386643857383
5/18/20,281,575,10,17.356843383310274,421.54669367612746,572.0964629405623
5/19/20,295,577,10,15.993551090607562,411.52667971657723,583.4797691928153
5/20/20,305,582,10,14.765230634457923,401.6429523832153,594.5918169823269
