,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0,0,0,100000.0,3.0,10.0
1/23/20,0,0,0,99999.57742429129,3.2999364187834237,10.122639289923779
1/24/20,0,0,0,99999.11260202875,3.6298580609318023,10.257539910319558
1/25/20,0,0,0,99998.60110442626,3.992908051094183,10.40598752263878
1/26/20,0,0,0,99998.03844291158,4.3922721142727035,10.569284974138245
1/27/20,0,0,0,99997.41980006172,4.83136947344322,10.748830464827305
1/28/20,0,0,0,99996.73963786766,5.3141306472574446,10.946231485076563
1/29/20,0,0,0,99995.99169773434,5.844997450042942,11.163304815617872
1/30/20,1,0,0,99995.16900048064,6.428922991803135,11.402076527544331
1/31/20,1,0,0,99994.26384633947,7.071371678217302,11.664781982310291
2/1/20,1,0,0,99993.26781495762,7.778319210640575,11.953865831731353
2/2/20,2,0,0,99992.1717653959,8.556252586103945,12.271982017984364
2/3/20,3,0,0,99990.96583612908,9.412170097314256,12.62199377360742
2/4/20,3,0,0,99989.63944504585,10.353581332654201,13.00697362149987
2/5/20,3,0,0,99988.18066212401,11.388951088080148,13.430386787904244
2/6/20,3,0,0,99986.5746521633,12.528802168351183,13.896545668346361
2/7/20,3,0,0,99984.8087849218,13.782100687905592,14.409114390291709
2/8/20,3,0,0,99982.86853836656,15.159154690321857,14.972306943120266
2/9/20,3,0,0,99980.73687582699,16.672054843122968,15.591069329877632
2/10/20,3,0,0,99978.39424599495,18.334674437776414,16.271079567275027
2/11/20,3,0,0,99975.8185829246,20.162669389694198,17.018747685689302
2/12/20,3,0,0,99972.9853060326,22.173478238232832,17.84121572916292
2/13/20,3,0,0,99969.8673200979,24.38632214669333,18.746357755403967
2/14/20,3,0,0,99966.43501526189,26.822204902321207,19.742779835786163
2/15/20,3,0,0,99962.65626702835,29.5039129163065,20.839820055348845
2/16/20,0,3,0,99958.49643626342,32.45601522378374,22.047548512796965
2/17/20,0,3,0,99953.91836919566,35.70486348383196,23.376767320501106
2/18/20,0,3,0,99948.88239741602,39.27859197947471,24.839010604497467
2/19/20,0,3,0,99943.34633787783,43.207117617680055,26.446544504487882
2/20/20,0,3,0,99937.26057976419,47.52558489682989,28.213835338974725
2/21/20,0,3,0,99930.56086653552,52.2794578854621,30.15967557900056
2/22/20,0,3,0,99923.19629412293,57.504913404597524,32.29879247246662
2/23/20,0,3,0,99915.10751040565,63.24410250374014,34.6483870905951
2/24/20,0,3,0,99906.2244646946,69.54672703264416,37.22880827273184
2/25/20,0,3,0,99896.46640773233,76.47003964131397,40.06355262634635
2/26/20,0,3,0,99885.74189169295,84.07884378000426,43.179264527031805
