,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0,0,0,100000.0,2.0,10.0
1/23/20,0,0,0,99999.4298238553,2.2958435030827244,10.27433264161527
1/24/20,0,0,0,99998.77529293949,2.6354536550077645,10.589253405506042
1/25/20,0,0,0,99998.02358761236,3.0254806885387118,10.950931699090374
1/26/20,0,0,0,99997.1610734705,3.4729983590216436,11.365928170471301
1/27/20,0,0,0,99996.17166123306,3.986353682013059,11.84198508491739
1/28/20,0,0,0,99995.03616338261,4.575500089974611,12.388336527416048
1/29/20,0,0,0,99993.73229416505,5.251997432273106,13.015708402673525
1/30/20,0,0,0,99992.2346695897,6.029011975180504,13.736318435114914
1/31/20,2,0,0,99990.51480742924,6.921316401873918,14.563876168884155
2/1/20,2,0,0,99988.54105695467,7.945326022329443,15.513617022993738
2/2/20,2,0,0,99986.27373343396,9.121608269627215,16.60465829640934
2/3/20,2,0,0,99983.67266595444,10.471002543622568,17.85633150192964
2/4/20,2,0,0,99980.69188811774,12.017358036235843,19.29075384601685
2/5/20,2,0,0,99977.27458419172,13.79013764968088,20.935278158597185
2/6/20,2,0,0,99973.35308911047,15.824417996465026,22.82249289306082
2/7/20,3,0,0,99968.84888847434,18.160889399389113,24.9902221262619
2/8/20,3,0,0,99963.67261854993,20.845855891547487,27.481525558518566
2/9/20,3,0,0,99957.72406627005,23.93123521632799,30.344698513612926
2/10/20,3,0,0,99950.89216923379,27.474558827411947,33.63327193879106
2/11/20,3,0,0,99943.05501570646,31.5389718887742,37.40601240476304
2/12/20,3,0,0,99934.06111090271,36.2027148532858,41.736174244000104
2/13/20,3,0,0,99923.73908970805,41.554444736875126,46.706465555065186
2/14/20,3,0,0,99911.91507149141,47.68449548039883,52.400433028175165
2/15/20,3,0,0,99898.37027621712,54.706212555070266,58.923511227800255
2/16/20,3,0,0,99882.84053276457,62.75620087656152,66.40326635885607
2/17/20,3,0,0,99865.01627892829,71.99432480500337,74.98939626670362
2/18/20,3,0,0,99844.54256141785,82.60370814498538,84.85373043714937
2/19/20,3,0,0,99821.01903585799,94.79073414555572,96.19022999644511
2/20/20,3,0,0,99793.99996678848,108.78504550022133,109.2149877112881
2/21/20,19,0,1,99762.99422766423,124.83954434694792,124.16622798882096
2/22/20,59,1,2,99727.4653008552,143.23039226815985,141.30430687663173
2/23/20,150,2,3,99686.7388795189,164.29909134338237,160.96202913771563
2/24/20,221,1,7,99640.06741624541,188.42984964733625,183.5027341072522
2/25/20,311,1,10,99586.6535256634,216.03817619039893,209.30829814620554
2/26/20,438,3,12,99525.5192150226,247.62758360103007,238.85320137636467
2/27/20,593,45,17,99455.50578841816,283.78963039963025,272.7045811822138
2/28/20,821,46,21,99375.27384679053,325.20392099854087,311.52223221093254
2/29/20,1053,46,29,99283.30328792556,372.6381057020445,356.05860637239573
3/1/20,1577,83,34,99177.89330645445,426.94788070636463,407.15881283917355
3/2/20,1835,149,52,99057.1623938538,489.07698809966524,465.76061804653125
3/3/20,2263,160,79,98919.04833844551,560.0572158620517,532.8944456924296
3/4/20,2706,276,107,98761.3082253969,641.0083978655704,609.6833767375244
3/5/20,3296,414,148,98581.470000393,733.0754608270406,697.4545387799403
3/6/20,3916,523,197,98376.4806870059,837.7530409422237,797.7662720518696
3/7/20,5061,589,233,98142.77695872473,956.9030991990168,912.3199420762467
3/8/20,6387,622,366,97876.39580559822,1092.502236978546,1043.1019574232207
3/9/20,7985,724,463,97572.97470949915,1246.6407836593794,1192.384506841469
3/10/20,8794,724,631,97227.75164412428,1421.5227966175253,1362.7255592581967
3/11/20,10590,1045,827,96835.56507499442,1619.4660612264342,1556.9688637791373
3/12/20,10590,1045,827,96390.85395945444,1842.9020908569987,1778.2439496885527
3/13/20,14955,1439,1266,95887.65774667321,2094.376126877551,2029.9661264492315
3/14/20,17750,1966,1441,95319.61637764364,2376.547138653867,2315.8364837024933
3/15/20,20603,2335,1809,94679.97028518266,2692.1878235491613,2639.8418912681827
3/16/20,23073,2749,2158,93963.1144337438,3043.04906705834,3005.8364991978497
3/17/20,26062,2941,2503,93163.35552284948,3430.4925508429624,3418.151926307544
3/18/20,28710,4025,2978,92269.49596628446,3859.4132035732637,3883.0908301422605
3/19/20,33190,4440,3405,91271.73199010598,4333.4486480766955,4406.819361817321
3/20/20,38549,4440,4032,90161.97398267889,4854.752237201263,4995.273780119849
3/21/20,42681,6072,4825,88933.8464946757,5423.993053815515,5654.160451508771
3/22/20,46638,7024,5476,87582.68823907661,6040.3559108085565,6388.955850114815
3/23/20,50826,7024,6077,86105.55209116943,6701.541351090039,7204.906557740515
3/24/20,54030,8326,6820,84501.20508854961,7403.765647590162,8107.029263860201
3/25/20,57521,9362,7503,82770.12843112028,8141.760803259682,9100.110765620015
3/26/20,62013,10361,8215,80914.51748109219,8908.774551069895,10188.707967837894
3/27/20,66414,10950,9134,78938.28176298374,9696.570354012656,11377.14788300358
3/28/20,70065,12384,10023,76843.07121761785,10498.518726494081,12670.410055888067
