,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
3/6/20,1,0,0,125000.0,1.0,10.0
3/7/20,1,0,0,124999.75724836215,1.2048208525801742,10.037930785272946
3/8/20,6,0,0,124999.46475160969,1.4516138725322114,10.0836345177843
3/9/20,7,0,0,124999.11221628965,1.7490640403532676,10.13871967000589
3/10/20,11,0,0,124998.68786752778,2.107106312368334,10.205026159859543
3/11/20,11,0,0,124998.17682514539,2.5382956536116783,10.284879201000157
3/12/20,15,0,0,124997.56076418885,3.058093434888839,10.381142376272063
3/13/20,28,0,0,124996.81791492952,3.684867432776621,10.497217637709005
3/14/20,38,0,0,124995.92296259434,4.439976400086022,10.637061005575712
3/15/20,43,0,0,124994.84386063655,5.350458065881516,10.80568129757413
3/16/20,86,0,0,124993.54601949766,6.445497127275068,11.00848337505747
3/17/20,116,1,0,124991.98552409197,7.762146077663182,11.252329830367342
3/18/20,144,1,0,124990.10593647271,9.348021910697442,11.5460416165888
3/19/20,233,1,0,124987.83829583216,11.261306120284523,11.90039804755034
3/20/20,230,1,3,124985.1011185016,13.570744700586184,12.328136797823898
3/21/20,312,1,5,124981.80039795126,16.35564814601927,12.843953902724856
3/22/20,357,1,5,124977.82675541285,19.70829187206849,13.464952715070162
3/23/20,389,1,5,124973.03609554883,23.750222636421526,14.21368181474752
3/24/20,408,1,7,124967.28051144847,28.60624436005081,15.113244191485357
3/25/20,470,1,9,124960.36514889453,34.44075206402184,16.194099041440246
3/26/20,557,14,9,124952.0382839462,41.466089644011745,17.49562640978892
3/27/20,608,16,11,124941.99132293896,49.942549870309264,19.06612719072826
3/28/20,639,16,16,124929.85880248471,60.1783743878147,20.962823127475314
3/29/20,818,16,18,124915.21838947169,72.52975371604,23.251856812267285
3/30/20,873,53,24,124897.59088106453,87.40082724910872,26.008291686361527
3/31/20,641,394,30,124876.36653122249,105.30542856770195,29.328040209809966
4/1/20,891,394,38,124850.83033658711,126.84650097577779,33.32316243711148
4/2/20,822,537,55,124820.17461979938,152.7056529479364,38.11972725267907
4/3/20,997,537,61,124783.32212438864,183.7911251960379,43.88675041532569
4/4/20,759,914,73,124738.92427511503,221.23924652531986,50.836478359647
4/5/20,1209,989,83,124685.36117796958,266.41443383439713,59.22438819602131
4/6/20,1472,997,92,124620.74162017413,320.90919211526176,69.34918771060958
4/7/20,1546,1301,107,124542.90307018136,386.5441144532833,81.55281536535554
4/8/20,2888,1333,121,124449.3854772629,465.3889104008519,96.22561233624549
4/9/20,3680,1438,138,124336.96119386492,560.1470609201248,113.891745214959
4/10/20,4159,1569,169,124202.08098304084,673.8157312304834,135.10328572866848
4/11/20,4928,1739,181,124040.29638377097,810.1432266389459,160.5603895900831
4/12/20,5528,1798,193,123846.01517884554,973.8235340973238,191.16128705713643
4/13/20,6926,2642,216,123612.5013948648,1170.4963222022209,228.0022829329864
4/14/20,7204,2869,230,123331.87530223896,1406.7469411950337,272.37775656601514
4/15/20,8113,3108,254,122995.11341518821,1690.1064229619524,325.78016184982937
4/16/20,6097,6120,274,122592.04849174278,2029.0514810339582,389.90002722326005
4/17/20,6648,6541,300,122111.53148997991,2432.76973320962,466.69877681046023
4/18/20,7388,6684,348,121539.64640401318,2912.700403911383,558.6531920754354
4/19/20,8417,6811,400,120858.05702899347,3484.311198689503,668.6317723170249
4/20/20,8912,6968,445,120046.40767744882,4164.466534764396,800.1257877867793
4/21/20,10371,6982,484,119082.45187456248,4971.279753084449,957.2683723530621
4/22/20,11693,7027,530,117942.05235817292,5924.113118326018,1144.8345235010493
4/23/20,12920,7422,572,116599.18107877384,7043.577818893426,1368.2411023327304
4/24/20,13518,7496,634,115025.91919951412,8351.533966918969,1633.5468335669057
4/25/20,16834,7797,700,113192.48060433807,9871.06923486052,1947.4501608014032
4/26/20,18701,8088,728,111078.74164396706,11615.843095692637,2316.415260340291
4/27/20,19492,8425,782,108648.27289733855,13613.061283983008,2749.665818678429
4/28/20,21157,9179,854,105860.12775624177,15893.029424883362,3257.8428188748685
4/29/20,22951,10037,943,102688.39156747363,18471.50752294143,3851.1009095849213
4/30/20,25520,10405,1051,99122.18163283885,21349.709962100973,4539.108405060158
5/1/20,28206,11129,1124,95165.64720914983,24514.30550570174,5331.047285148406
5/2/20,28900,12434,1200,90837.96950822668,27937.417296479518,6235.613195293753
5/3/20,31092,13550,1286,86173.36169689731,31576.62285656609,7261.015446536546
5/4/20,31601,14427,1344,81221.0668691106,35374.95600382687,8414.977127062528
5/5/20,34332,15413,1444,76026.80319368624,39279.453647466,9704.743158847752
5/6/20,35757,17527,1533,70668.41296533037,43211.28544710765,11131.30158756197
5/7/20,38511,18388,1627,65245.72447415977,47073.80851057423,12691.467015265986
5/8/20,41121,19012,1714,59848.49479798361,50782.09235064704,14380.412851369336
5/9/20,42955,20246,1814,54556.40980230339,54262.91888506632,16191.671312630278
5/10/20,44069,21349,1889,49439.08414031303,57454.78243653117,18117.133423155796
5/11/20,44455,22406,1961,44556.06125289878,60307.88973269962,20147.049014401586
5/12/20,46678,23324,2057,39956.81336863926,62784.15990618863,22270.026725172098
5/13/20,49813,24324,2169,35680.74150380551,64857.224494574024,24473.034001620465
5/14/20,53186,25151,2267,31757.175462360865,66512.42744039056,26741.397097248577
5/15/20,54956,27147,2392,28203.734957818488,67748.37198870191,29058.893053479587
5/16/20,57746,28272,2523,25009.25079870806,68591.04048145733,31410.70871983459
5/17/20,61004,28621,2648,22148.571756471512,69077.29160487793,33785.13663865054
5/18/20,61838,30306,2789,19597.245193782037,69242.40625225176,36171.34855396618
5/19/20,60045,36524,2914,17331.533318973572,69120.20457060196,38559.262110424446
5/20/20,59028,41968,3024,15328.413186040812,68743.04596068672,40939.54085327245
5/21/20,62034,43587,3148,13565.576694639207,68141.82907699935,43303.59422836143
5/22/20,63606,44848,3244,12021.43059008495,67345.9918277682,45643.577582146834
5/23/20,64466,47915,3373,10675.096463354981,66383.51137495674,47952.39216168827
5/24/20,66708,49795,3456,9503.398078790264,65283.96327468682,50223.638646522886
5/25/20,69401,50949,3629,8478.997684354692,64078.48781447603,52453.51450116926
5/26/20,73057,52906,3788,7581.0992192927915,62789.65697758958,54640.24380311761
5/27/20,75753,56169,3983,6791.670253507104,61437.12317993544,56782.20656655743
5/28/20,78238,59442,4099,6095.28255680875,60037.80686476707,58877.91057842414
5/29/20,74889,62791,4099,5479.112098917426,58605.89650268336,60925.99139839918
05/30/20,,,,4932.939049461402,57152.848591628644,62925.212358909914
05/31/20,,,,4449.147777977524,55687.38765689271,64874.46456512972
06/01/20,,,,4022.726853911219,54215.50625111081,66772.76689497792
06/02/20,,,,3651.269046616485,52740.46495426363,68619.2659991198
06/03/20,,,,3330.1628847459206,51267.15933368422,70413.67778156984
