,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
3/13/20,4,0,0,600.0,4.0,10.0
3/14/20,6,0,0,598.7327044664657,5.02377121016162,10.243524323372693
3/15/20,8,0,0,597.1453797679296,6.305318867386643,10.54930136468375
3/16/20,29,0,0,595.1605137820823,7.906573392976214,10.932912824941535
3/17/20,50,0,0,592.6825420727425,9.904070623205929,11.413387304051621
3/18/20,79,0,0,589.5934350738381,12.391519566836102,12.015045359325827
3/19/20,94,0,0,585.7523540348124,15.479903355797964,12.767742609389712
3/20/20,110,0,0,580.9971632183651,19.29599397267136,13.706842808963524
3/21/20,135,0,0,575.1534462258601,23.97224758168003,14.874306192459867
3/22/20,158,0,0,567.9679025494427,29.70849869674005,16.32359875381735
3/23/20,162,0,0,559.1724368170969,36.70926031114507,18.118302871758043
3/24/20,189,0,0,548.5055133044873,45.16298208342693,20.331504612085833
3/25/20,217,0,0,535.7121559349579,55.24205033735574,23.045793727686448
3/26/20,238,0,0,520.5439482795329,67.10278806193978,26.353263658527435
3/27/20,274,0,0,502.796303079977,80.85815750328096,30.345539416742017
3/28/20,302,0,1,482.33620563322813,96.53993596837957,35.12385839839229
3/29/20,308,0,1,459.0629770988061,114.1193467449324,40.81767615626157
3/30/20,319,0,1,433.0678123959137,133.40225689765452,47.52993070643183
3/31/20,296,41,1,404.6405094793738,154.02462072675155,55.334869793874695
4/1/20,286,62,2,374.26946933962904,175.45247976791956,64.27805089245143
4/2/20,297,68,4,342.64169600274204,196.98196279234514,74.37634120491296
4/3/20,296,86,4,310.642796530395,217.7392858067054,85.61791766289986
4/4/20,302,93,5,279.1320674671708,236.90111811064546,97.96681442218375
4/5/20,296,104,6,248.70129740248407,253.98821818147283,111.31048441604312
4/6/20,286,123,6,219.90370360958403,268.59689956124566,125.49939682917034
4/7/20,267,150,7,193.16506860917673,280.44987933874705,140.38505205207628
4/8/20,257,192,7,168.78369227726446,289.3963196557432,155.8199880669925
4/9/20,260,206,7,146.93039184514578,295.4118277069831,171.65778044787135
4/10/20,273,214,7,127.64850189941549,298.598455740199,187.75304236038588
4/11/20,270,224,7,110.85387438196483,299.1847010561059,203.96142456192976
4/12/20,242,231,7,96.36957495283905,297.5060224081645,220.1244026389965
4/13/20,227,248,8,83.91086405757993,293.96067369052827,236.12846225189182
4/14/20,224,260,8,73.16495528067115,288.9273596700034,251.9076850493255
4/15/20,212,272,9,63.871833447618144,282.7268753608202,267.4012911915617
4/16/20,207,286,9,55.8243267120425,275.62207548652304,282.5535978014345
4/17/20,205,294,9,48.86810655568211,267.81787447997027,297.31401896434755
4/18/20,210,298,9,42.901687788391,259.46124648333443,311.6370657282745
4/19/20,220,298,10,37.87642854813943,250.64122534810195,325.48234610375846
4/20/20,212,313,10,33.7211694399386,241.45909945981893,338.81973110024245
4/21/20,207,324,12,30.16704155077835,232.18266923476892,351.65028921445276
